Team,League,Year,RS,RA,W,OBP,SLG,BA,Playoffs,RankSeason,RankPlayoffs,G,OOBP,OSLG
WASPS,AP,2017,693,502,17,,,,1,1,,22,,
EXET,AP,2017,667,452,15,,,,1,2,,22,,
SARAC,AP,2017,579,345,16,,,,1,3,,22,,
LEICS,AP,2017,567,445,14,,,,1,4,,22,,
BATH,AP,2017,486,440,12,,,,0,5,,22,,
HQUIN,AP,2017,532,526,11,,,,0,6,,22,,
NTHMP,AP,2017,476,490,10,,,,0,7,,22,,
NEWC,AP,2017,430,581,10,,,,0,8,,22,,
GLOUC,AP,2017,533,537,7,,,,0,9,,22,,
SALE,AP,2017,471,595,7,,,,0,10,,22,,
WORCS,AP,2017,466,662,5,,,,0,11,,22,,
BTL,AP,2017,382,707,3,,,,0,12,,22,,
SARAC,AP,2016,580,376,17,,,,1,1,,22,,
EXET,AP,2016,585,361,15,,,,1,2,,22,,
WASPS,AP,2016,598,397,15,,,,1,3,,22,,
LEICS,AP,2016,509,475,14,,,,1,4,,22,,
NTHMP,AP,2016,455,392,12,,,,0,5,,22,,
SALE,AP,2016,456,459,11,,,,0,6,,22,,
HQUIN,AP,2016,547,583,10,,,,0,7,,22,,
GLOUC,AP,2016,429,423,10,,,,0,8,,22,,
BATH,AP,2016,435,460,9,,,,0,9,,22,,
WORCS,AP,2016,420,597,7,,,,0,10,,22,,
NEWC,AP,2016,357,556,5,,,,0,11,,22,,
IRISH,AP,2016,328,620,4,,,,0,12,,22,,
NTHMP,AP,2015,621,400,16,,,,1,1,,22,,
BATH,AP,2015,625,414,16,,,,1,2,,22,,
LEICS,AP,2015,453,421,15,,,,1,3,,22,,
SARAC,AP,2015,664,418,14,,,,1,4,,22,,
EXET,AP,2015,663,437,14,,,,0,5,,22,,
WASPS,AP,2015,672,527,11,,,,0,6,,22,,
SALE,AP,2015,497,482,11,,,,0,7,,22,,
HQUIN,AP,2015,444,514,10,,,,0,8,,22,,
GLOUC,AP,2015,553,575,9,,,,0,9,,22,,
IRISH,AP,2015,442,578,7,,,,0,10,,22,,
NEWC,AP,2015,475,545,5,,,,0,11,,22,,
WELSH,AP,2015,223,1021,0,,,,0,12,,22,,
SARAC,AP,2014,629,353,19,,,,1,1,,22,,
NTHMP,AP,2014,604,350,16,,,,1,2,,22,,
LEICS,AP,2014,542,430,15,,,,1,3,,22,,
HQUIN,AP,2014,437,365,15,,,,1,4,,22,,
BATH,AP,2014,495,388,14,,,,0,5,,22,,
SALE,AP,2014,432,399,12,,,,0,6,,22,,
WASPS,AP,2014,451,533,9,,,,0,7,,22,,
EXET,AP,2014,426,480,9,,,,0,8,,22,,
GLOUC,AP,2014,440,539,8,,,,0,9,,22,,
IRISH,AP,2014,396,496,7,,,,0,10,,22,,
NEWC,AP,2014,281,544,3,,,,0,11,,22,,
WORCS,AP,2014,325,581,2,,,,0,12,,22,,
SARAC,AP,2013,533,339,17,,,,1,1,,22,,
LEICS,AP,2013,538,345,15,,,,1,2,,22,,
HQUIN,AP,2013,560,453,15,,,,1,3,,22,,
NTHMP,AP,2013,501,433,14,,,,1,4,,22,,
GLOUC,AP,2013,515,481,12,,,,0,5,,22,,
EXET,AP,2013,542,446,12,,,,0,6,,22,,
BATH,AP,2013,452,434,10,,,,0,7,,22,,
WASPS,AP,2013,511,528,9,,,,0,8,,22,,
IRISH,AP,2013,459,601,7,,,,0,9,,22,,
SALE,AP,2013,377,596,7,,,,0,10,,22,,
WORCS,AP,2013,422,547,5,,,,0,11,,22,,
WELSH,AP,2013,412,619,5,,,,0,12,,22,,
HQUIN,AP,2012,581,435,19,,,,1,1,,24,,
LEICS,AP,2012,694,520,16,,,,1,2,,24,,
SARAC,AP,2012,504,374,16,,,,1,3,,23,,
NTHMP,AP,2012,562,399,14,,,,1,4,,23,,
EXET,AP,2012,436,421,12,,,,0,5,,22,,
SALE,AP,2012,453,538,10,,,,0,6,,22,,
IRISH,AP,2012,514,516,8,,,,0,7,,22,,
BATH,AP,2012,365,412,9,,,,0,8,,22,,
GLOUC,AP,2012,456,507,8,,,,0,9,,22,,
WORCS,AP,2012,322,448,7,,,,0,10,,22,,
WASPS,AP,2012,363,502,6,,,,0,11,,22,,
NEWC,AP,2012,351,529,6,,,,0,12,,22,,
LEICS,AP,2011,594,403,16,,,,1,1,,22,,
SARAC,AP,2011,484,318,18,,,,1,2,,22,,
GLOUC,AP,2011,528,452,14,,,,1,3,,22,,
NTHMP,AP,2011,533,430,14,,,,1,4,,22,,
BATH,AP,2011,427,367,13,,,,0,5,,22,,
IRISH,AP,2011,523,459,11,,,,0,6,,22,,
HQUIN,AP,2011,482,384,9,,,,0,7,,22,,
EXET,AP,2011,428,460,10,,,,0,8,,22,,
WASPS,AP,2011,425,497,9,,,,0,9,,22,,
SALE,AP,2011,432,618,6,,,,0,10,,22,,
NEWC,AP,2011,360,553,4,,,,0,11,,22,,
LEEDS,AP,2011,315,590,4,,,,0,12,,22,,
LEICS,AP,2010,541,325,15,,,,1,1,,22,,
NTHMP,AP,2010,472,322,16,,,,1,2,,22,,
SARAC,AP,2010,480,367,15,,,,1,3,,22,,
BATH,AP,2010,450,366,12,,,,1,4,,22,,
WASPS,AP,2010,394,399,13,,,,0,5,,22,,
IRISH,AP,2010,469,384,10,,,,0,6,,22,,
GLOUC,AP,2010,470,457,10,,,,0,7,,22,,
HQUIN,AP,2010,420,484,9,,,,0,8,,22,,
NEWC,AP,2010,319,431,6,,,,0,9,,22,,
LEEDS,AP,2010,283,493,7,,,,0,10,,22,,
SALE,AP,2010,333,495,6,,,,0,11,,22,,
WORCS,AP,2010,312,420,3,,,,0,12,,22,,
LEICS,AP,2009,582,401,15,,,,1,1,,22,,
HQUIN,AP,2009,519,387,14,,,,1,2,,22,,
IRISH,AP,2009,544,381,12,,,,1,3,,22,,
BATH,AP,2009,539,441,13,,,,1,4,,22,,
SALE,AP,2009,447,410,13,,,,0,5,,22,,
GLOUC,AP,2009,435,448,12,,,,0,6,,22,,
WASPS,AP,2009,431,416,11,,,,0,7,,22,,
NTHMP,AP,2009,443,434,10,,,,0,8,,22,,
SARAC,AP,2009,437,447,9,,,,0,9,,22,,
NEWC,AP,2009,357,449,9,,,,0,10,,22,,
WORCS,AP,2009,348,530,7,,,,0,11,,22,,
BTL,AP,2009,299,637,2,,,,0,12,,22,,
GLOUC,AP,2008,551,377,15,,,,1,1,,22,,
WASPS,AP,2008,599,459,14,,,,1,2,,22,,
BATH,AP,2008,526,387,15,,,,1,3,,22,,
LEICS,AP,2008,539,428,13,,,,1,4,,22,,
SALE,AP,2008,481,374,14,,,,0,5,,22,,
HQUIN,AP,2008,480,440,12,,,,0,6,,22,,
IRISH,AP,2008,433,382,13,,,,0,7,,22,,
SARAC,AP,2008,533,525,11,,,,0,8,,22,,
BTL,AP,2008,393,473,7,,,,0,9,,22,,
WORCS,AP,2008,387,472,6,,,,0,10,,22,,
NEWC,AP,2008,333,542,7,,,,0,11,,22,,
LEEDS,AP,2008,336,732,2,,,,0,12,,22,,